date,long_net,long_short,benchmark,long_equity,ls_equity,bench_equity,IC
2021-01-04,0.35204233441071425,0.21731507209142853,0.1421068500002837,1.3520423344107142,1.2173150720914285,1.1421068500002838,0.1071578406609872
2021-04-07,0.10633889717857141,-0.02587304652500003,0.14543699142127658,1.4958170251906908,1.1858194225956233,1.3082114341459563,-0.061792028768354795
2021-07-13,0.2528035949333334,0.11218238336666667,0.1411156831655629,1.873964946521382,1.3188474716648848,1.4928205844004636,0.06890554200069711
2021-10-08,0.05141309062666667,0.07910120106,0.016688792323486846,1.9703112761480825,1.4231698906885215,1.5177339571097492,0.22255482883289252
2022-01-05,0.10681711707000001,0.04003536815666668,0.026197910277394737,2.1807742463967337,1.4801470212117196,1.5574954151430658,-0.06093193638556851
2022-04-04,-0.1405750865666667,-0.007449259450000049,-0.1108429550006536,1.8742117179271554,1.4691210220265687,1.3848580209286387,-0.08350756570570812
2022-06-30,0.22853821553125,0.175550649875,0.1530031779627329,2.3025407194699863,1.7270261721883569,1.5967456991579014,0.35772371750632626
2022-09-27,0.004123573271875003,-0.081289784278125,0.051324109054148144,2.3120354148381965,1.5866365872084893,1.6786972495532235,-0.16962689168610745
2022-12-23,-0.05588682555624999,-0.07375955762812499,-0.013755459275925929,2.182823094929262,1.4696069744193931,1.6556059979003852,-0.07489686844181377
2023-03-22,0.19287884553124998,0.05653286406249997,0.17725847945740741,2.6038434934781685,1.5526880657295465,1.9490761996687713,0.07654245717729313
2023-06-21,0.214943977415625,0.08468796940937497,0.15348728420487803,3.163523970534162,1.684182065142352,2.2482346122642958,0.23443744643804493
2023-09-15,0.22800648230624998,0.0612610650875,0.15885740489390243,3.8848279427471573,1.787356852254238,2.605383328361251,0.04448192836641138
2023-12-15,0.154233906903125,0.11643698410312499,0.08802475800060976,4.484000134003481,1.9954712936467762,2.834721565339073,0.1559424863629562
2024-03-18,0.2879323644999999,0.19844923558484842,0.21482143979272728,5.77508889500542,2.3914710465024873,3.443680533416706,0.30951566799348174
2024-06-19,0.07970509330000002,-0.027995075609090897,0.08971658757678572,6.235392894197622,2.3245216337386987,3.7526357995794584,-0.2264794164840227
2024-09-13,-0.03245944652727273,0.06163213395757576,-0.015966910339285715,6.032995491971878,2.467786862456565,3.6927178002315793,0.14534245119229
2024-12-11,-0.13573952789999996,0.010714666221212157,-0.13873750719704142,5.214079532068787,2.4942283749928795,3.1803993378453077,0.05227238824523893
2025-03-10,0.21569296757575754,0.010103343351515127,0.19572454636331366,6.338719819516721,2.5194284206625244,3.8028815554992637,0.026396002187857395
2025-06-10,-0.036702226731428575,-0.015050389717142863,-0.012515637610857142,6.106074687513819,2.4815100410671076,3.755286068073622,-0.07039856695029109
2025-09-04,0.13374873748,0.14467315715142856,0.05815956986649718,6.922754467927377,2.8405179332112573,3.9736918905184333,0.3429303509288274
2025-12-02,0.05799740456285715,0.13533373973428572,-0.008518049759776538,7.324256259493088,3.2249358478950407,3.939843785264977,0.3019354298746678
2026-03-02,-0.023866045322857143,-0.08360376603714285,0.025946628347191015,7.149455227647805,2.9553190657828288,4.042069447707237,-0.1433416779352483
