Date,Symbol,Adj Close,Close,High,Low,Open,Volume
2010-01-04,DIVISLAB,287.6423645019531,335.42498779296875,342.0,334.04998779296875,338.0,257058
2010-01-05,DIVISLAB,287.192138671875,334.8999938964844,342.5,334.25,342.5,158842
2010-01-06,DIVISLAB,294.9100646972656,343.8999938964844,346.75,330.0,335.5,746184
2010-01-07,DIVISLAB,304.38604736328125,354.95001220703125,357.3999938964844,347.45001220703125,347.5,1752498
2010-01-08,DIVISLAB,296.6894836425781,345.9750061035156,356.0,343.875,355.04998779296875,567574
2010-01-11,DIVISLAB,295.2745361328125,344.32501220703125,350.0,343.5,350.0,356230
2010-01-12,DIVISLAB,293.0020446777344,341.67498779296875,351.5,340.5249938964844,344.32501220703125,506520
2010-01-13,DIVISLAB,298.6190185546875,348.2250061035156,350.45001220703125,335.79998779296875,339.32501220703125,371390
2010-01-14,DIVISLAB,297.43988037109375,346.8500061035156,352.0249938964844,344.8999938964844,350.0,217766
2010-01-15,DIVISLAB,295.42462158203125,344.5,349.1000061035156,343.0,347.5,256248
2010-01-18,DIVISLAB,291.4798889160156,339.8999938964844,346.0,336.75,343.75,925432
2010-01-19,DIVISLAB,287.685302734375,335.4750061035156,342.3999938964844,333.29998779296875,339.0,413530
2010-01-20,DIVISLAB,282.411376953125,329.32501220703125,339.3999938964844,328.45001220703125,336.5,369072
2010-01-21,DIVISLAB,272.29229736328125,317.5249938964844,332.45001220703125,315.0,326.0,600892
2010-01-22,DIVISLAB,267.6401672363281,312.1000061035156,314.70001220703125,300.07501220703125,313.125,507480
2010-01-25,DIVISLAB,263.7812194824219,307.6000061035156,314.92498779296875,305.5,313.875,348632
2010-01-27,DIVISLAB,254.47677612304688,296.75,306.5,292.67498779296875,306.0,396276
2010-01-28,DIVISLAB,252.18284606933594,294.07501220703125,319.8500061035156,287.54998779296875,307.7749938964844,616366
2010-01-29,DIVISLAB,262.0017395019531,305.5249938964844,307.25,286.0,293.8999938964844,266356
2010-02-01,DIVISLAB,264.9174499511719,308.92498779296875,312.5,298.0249938964844,307.5,373326
2010-02-02,DIVISLAB,262.4305419921875,306.0249938964844,317.3999938964844,305.1000061035156,310.0,550884
2010-02-03,DIVISLAB,261.2299499511719,304.625,311.0,303.6499938964844,307.5,400610
2010-02-04,DIVISLAB,254.54110717773438,296.82501220703125,311.0,293.6000061035156,306.20001220703125,931122
2010-02-05,DIVISLAB,242.3424835205078,282.6000061035156,294.3999938964844,277.5,286.5,890410
2010-02-08,DIVISLAB,246.84466552734375,287.8500061035156,291.5,281.07501220703125,286.875,277744
2010-02-09,DIVISLAB,245.77267456054688,286.6000061035156,290.5,282.5,286.0,1351896
2010-02-10,DIVISLAB,247.6164093017578,288.75,290.95001220703125,286.6000061035156,289.0,350568
2010-02-11,DIVISLAB,245.68695068359375,286.5,292.5,285.3500061035156,291.5,173424
2010-02-15,DIVISLAB,248.34532165527344,289.6000061035156,290.5,286.5249938964844,290.0,209914
2010-02-16,DIVISLAB,249.52444458007812,290.9750061035156,292.5,286.625,292.0,237878
2010-02-17,DIVISLAB,259.6649475097656,302.79998779296875,304.7250061035156,292.5,292.5,504806
2010-02-18,DIVISLAB,259.42913818359375,302.5249938964844,308.45001220703125,300.70001220703125,303.5,531438
2010-02-19,DIVISLAB,254.7983856201172,297.125,302.75,294.07501220703125,301.95001220703125,221208
2010-02-22,DIVISLAB,251.2395782470703,292.9750061035156,301.875,290.0,299.0,191016
2010-02-23,DIVISLAB,249.31002807617188,290.7250061035156,294.95001220703125,288.1000061035156,291.54998779296875,149196
2010-02-24,DIVISLAB,261.3371887207031,304.75,306.8500061035156,288.57501220703125,288.57501220703125,1058866
2010-02-25,DIVISLAB,258.46435546875,301.3999938964844,307.45001220703125,299.5,307.45001220703125,549166
2010-02-26,DIVISLAB,267.1255798339844,311.5,322.2250061035156,290.5,290.5,553304
2010-03-02,DIVISLAB,271.6921081542969,316.82501220703125,324.25,314.5,315.0,631980
2010-03-03,DIVISLAB,278.6596374511719,324.95001220703125,326.95001220703125,316.6499938964844,317.5,543642
2010-03-04,DIVISLAB,278.68096923828125,324.9750061035156,329.3999938964844,323.04998779296875,325.6499938964844,250718
2010-03-05,DIVISLAB,281.5323181152344,328.29998779296875,331.8999938964844,321.5,325.0,352614
2010-03-08,DIVISLAB,277.8450012207031,324.0,331.8500061035156,322.6000061035156,331.8500061035156,209760
2010-03-09,DIVISLAB,274.4576110839844,320.04998779296875,326.29998779296875,319.0,324.3999938964844,210456
2010-03-10,DIVISLAB,273.9001770019531,319.3999938964844,321.8999938964844,275.5,317.6000061035156,351248
2010-03-11,DIVISLAB,275.2937316894531,321.0249938964844,322.5,315.125,316.1000061035156,331228
2010-03-12,DIVISLAB,274.6719665527344,320.29998779296875,323.45001220703125,316.32501220703125,323.45001220703125,351780
2010-03-15,DIVISLAB,266.8254089355469,311.1499938964844,321.0,307.67498779296875,321.0,426778
2010-03-16,DIVISLAB,264.55291748046875,308.5,313.0,307.5,313.0,376644
2010-03-17,DIVISLAB,272.0135803222656,317.20001220703125,319.5,310.0,312.0,809508
2010-03-18,DIVISLAB,273.6000671386719,319.04998779296875,321.5,317.5,319.5,408592
2010-03-19,DIVISLAB,271.2847595214844,316.3500061035156,321.0,314.57501220703125,321.0,267856
2010-03-22,DIVISLAB,277.351806640625,323.42498779296875,325.6499938964844,309.29998779296875,312.5,645204
2010-03-23,DIVISLAB,282.883056640625,329.875,331.45001220703125,325.0,325.0,653348
