Date,Symbol,Adj Close,Close,High,Low,Open,Volume
2010-01-04,MOTILALOFS,163.30052185058594,174.60000610351562,177.0,173.14999389648438,175.9499969482422,16986
2010-01-05,MOTILALOFS,166.62078857421875,178.14999389648438,184.89999389648438,177.0500030517578,178.9499969482422,67756
2010-01-06,MOTILALOFS,165.7322540283203,177.1999969482422,182.5,176.3000030517578,181.75,100833
2010-01-07,MOTILALOFS,165.5919647216797,177.0500030517578,180.0,174.0,177.1999969482422,40767
2010-01-08,MOTILALOFS,163.62783813476562,174.9499969482422,184.0,171.5500030517578,179.39999389648438,309180
2010-01-11,MOTILALOFS,163.34722900390625,174.64999389648438,178.5,171.10000610351562,176.0,76302
2010-01-12,MOTILALOFS,165.966064453125,177.4499969482422,181.0,175.1999969482422,176.89999389648438,93473
2010-01-13,MOTILALOFS,165.91929626464844,177.39999389648438,179.0,175.5,177.5,26845
2010-01-14,MOTILALOFS,168.30426025390625,179.9499969482422,184.5,178.10000610351562,178.10000610351562,87077
2010-01-15,MOTILALOFS,168.35104370117188,180.0,183.0,179.3000030517578,183.0,28795
2010-01-18,MOTILALOFS,169.61367797851562,181.35000610351562,182.5,176.64999389648438,180.0,18787
2010-01-19,MOTILALOFS,165.6387176513672,177.10000610351562,182.6999969482422,176.1999969482422,182.6999969482422,18009
2010-01-20,MOTILALOFS,165.6387176513672,177.10000610351562,179.89999389648438,174.0,179.8000030517578,9134
2010-01-21,MOTILALOFS,163.62783813476562,174.9499969482422,177.89999389648438,174.10000610351562,175.14999389648438,38437
2010-01-22,MOTILALOFS,159.09176635742188,170.10000610351562,173.64999389648438,167.0,170.0500030517578,11092
2010-01-25,MOTILALOFS,159.6528778076172,170.6999969482422,173.0,167.0,170.0,10824
2010-01-27,MOTILALOFS,154.27505493164062,164.9499969482422,172.85000610351562,161.0,172.85000610351562,32330
2010-01-28,MOTILALOFS,154.6023712158203,165.3000030517578,169.5,163.25,168.5,16495
2010-01-29,MOTILALOFS,151.70301818847656,162.1999969482422,163.9499969482422,157.5500030517578,163.0,11963
2010-02-01,MOTILALOFS,152.68504333496094,163.25,164.0,160.5500030517578,162.89999389648438,5894
2010-02-02,MOTILALOFS,151.5159149169922,162.0,168.0,161.39999389648438,165.0,7106
2010-02-03,MOTILALOFS,156.33262634277344,167.14999389648438,167.6999969482422,162.5,164.0,9388
2010-02-04,MOTILALOFS,157.92263793945312,168.85000610351562,173.5,164.0500030517578,166.0,8614
2010-02-05,MOTILALOFS,149.8324432373047,160.1999969482422,163.5,157.25,161.5,16797
