Date,Symbol,Adj Close,Close,High,Low,Open,Volume
2010-01-04,ABB,641.863037109375,694.8750610351562,703.408935546875,690.0634155273438,699.0512084960938,204731
2010-01-05,ABB,640.2277221679688,693.104736328125,700.821533203125,691.788330078125,695.4197387695312,175062
2010-01-06,ABB,640.4373779296875,693.3316650390625,700.3676147460938,690.1995849609375,698.7334594726562,222114
2010-01-07,ABB,656.0354614257812,710.2178344726562,717.2083740234375,692.8777465820312,693.6040649414062,438939
2010-01-08,ABB,667.5242919921875,722.655517578125,728.9197387695312,711.1710815429688,713.713134765625,784364
2010-01-11,ABB,688.1956787109375,745.0342407226562,747.167724609375,724.4712524414062,724.4712524414062,587128
2010-01-12,ABB,670.2496948242188,725.6060791015625,747.167724609375,721.2937622070312,745.896728515625,386194
2010-01-13,ABB,687.0637817382812,743.8086547851562,746.9861450195312,716.300537109375,717.2083740234375,490669
2010-01-14,ABB,716.12109375,775.2659301757812,779.3966674804688,737.8167724609375,747.167724609375,1181395
2010-01-15,ABB,718.0917358398438,777.3994140625,794.2855834960938,771.7252807617188,776.2191772460938,842989
2010-01-18,ABB,720.4817504882812,779.98681640625,785.2069702148438,767.3221435546875,770.0457763671875,356880
2010-01-19,ABB,704.50634765625,762.6920776367188,780.7584838867188,757.2903442382812,780.4407348632812,294171
2010-01-20,ABB,720.9429931640625,780.4861450195312,785.4793701171875,763.0098266601562,770.5904541015625,351973
2010-01-21,ABB,702.7874145507812,760.8309936523438,800.2774658203125,756.6094360351562,781.6663208007812,674537
2010-01-22,ABB,677.3778076171875,733.3228759765625,753.2049560546875,727.19482421875,744.4441528320312,534953
2010-01-25,ABB,683.4575805664062,739.9048461914062,752.1609497070312,733.3228759765625,733.3228759765625,295781
2010-01-27,ABB,652.8067626953125,706.7225952148438,739.7686767578125,698.279541015625,739.5870971679688,377502
2010-01-28,ABB,659.347900390625,713.8038940429688,730.2815551757812,704.3621826171875,716.890625,248567
2010-01-29,ABB,680.1031494140625,736.2733764648438,747.5308227539062,698.143310546875,708.1297607421875,408739
2010-02-01,ABB,682.1157836914062,738.4522705078125,747.167724609375,726.2869873046875,736.2733764648438,239895
2010-02-02,ABB,677.0003051757812,732.914306640625,747.9848022460938,728.42041015625,744.4441528320312,373989
2010-02-03,ABB,679.0548706054688,735.1385498046875,748.0755615234375,732.8689575195312,742.3560791015625,277234
2010-02-04,ABB,664.8406982421875,719.7503662109375,737.8167724609375,713.667724609375,733.5498046875,211299
2010-02-05,ABB,652.2618408203125,706.1325073242188,716.0281372070312,700.866943359375,716.0281372070312,159761
2010-02-08,ABB,663.1216430664062,717.8892822265625,724.6981811523438,696.917724609375,712.6690673828125,291978
2010-02-09,ABB,657.9642944335938,712.305908203125,728.1026611328125,709.0376586914062,717.2083740234375,203515
2010-02-10,ABB,662.40869140625,717.1175537109375,731.2801513671875,712.8960571289062,717.2083740234375,222437
2010-02-11,ABB,664.4215087890625,719.2964477539062,733.0504760742188,717.2991333007812,719.2056884765625,114012
2010-02-15,ABB,665.97265625,720.9760131835938,725.1521606445312,716.3912963867188,719.9319458007812,126256
2010-02-16,ABB,671.4658203125,726.9224853515625,729.0105590820312,714.0762329101562,721.7476806640625,172426
2010-02-17,ABB,673.4363403320312,729.055908203125,738.9061889648438,724.4712524414062,728.8743286132812,177939
2010-02-18,ABB,671.75927734375,727.240234375,735.0477905273438,723.1548461914062,729.0105590820312,140655
2010-02-19,ABB,676.623046875,732.5057983398438,735.3201293945312,713.667724609375,726.1054077148438,146174
2010-02-22,ABB,672.0109252929688,727.5125732421875,744.7619018554688,724.4712524414062,737.7713623046875,156287
2010-02-23,ABB,677.0003051757812,732.914306640625,737.1812744140625,725.3790893554688,725.3790893554688,337920
2010-02-24,ABB,680.1450805664062,736.3187866210938,742.62841796875,728.1026611328125,733.5498046875,201763
2010-02-25,ABB,679.0548706054688,735.1385498046875,743.3546752929688,729.101318359375,740.721923828125,117532
2010-02-26,ABB,666.3502807617188,721.384521484375,748.0755615234375,714.4848022460938,737.2720336914062,427243
2010-03-02,ABB,656.2031860351562,710.3994140625,730.8262329101562,703.5905151367188,730.8262329101562,445384
2010-03-03,ABB,668.3209838867188,723.5180053710938,726.1507568359375,706.8134155273438,712.6690673828125,279846
2010-03-04,ABB,670.7527465820312,726.1507568359375,730.8262329101562,718.16162109375,719.0241088867188,179884
2010-03-05,ABB,689.4954223632812,746.44140625,748.8926391601562,724.4712524414062,727.19482421875,449349
2010-03-08,ABB,709.6218872070312,768.2300415039062,771.3167724609375,748.9833984375,753.522705078125,574636
2010-03-09,ABB,703.24853515625,761.330322265625,775.7652587890625,757.6080932617188,773.49560546875,267921
2010-03-10,ABB,709.6638793945312,768.2754516601562,772.224609375,758.06201171875,762.601318359375,214554
2010-03-11,ABB,731.1737670898438,791.56201171875,794.3763427734375,762.7828979492188,762.7828979492188,505226
2010-03-12,ABB,729.9158935546875,790.2001953125,798.0078125,782.8011474609375,794.3763427734375,337266
2010-03-15,ABB,709.3702392578125,767.9576416015625,794.3763427734375,762.8282470703125,791.6527709960938,179078
2010-03-16,ABB,710.4186401367188,769.0924682617188,773.3140258789062,760.1954956054688,773.3140258789062,251044
2010-03-17,ABB,722.116943359375,781.7571411132812,792.2882690429688,770.0457763671875,770.0457763671875,287772
2010-03-18,ABB,714.1502075195312,773.1324462890625,787.1134643554688,768.1392211914062,781.847900390625,135337
2010-03-19,ABB,710.628173828125,769.3194580078125,780.576904296875,767.140625,774.4942626953125,136795
2010-03-22,ABB,700.6068725585938,758.4705200195312,772.4969482421875,753.613525390625,762.601318359375,125878
2010-03-23,ABB,698.0491333007812,755.7015991210938,767.0498046875,751.1168823242188,762.8736572265625,134241
2010-03-25,ABB,690.1243896484375,747.122314453125,765.3248901367188,743.6270751953125,759.5145874023438,422377
2010-03-26,ABB,694.0657958984375,751.3892211914062,764.2808227539062,748.9833984375,750.0728759765625,451680
2010-03-29,ABB,690.627685546875,747.6670532226562,755.2476196289062,742.9007568359375,754.884521484375,658161
2010-03-30,ABB,691.5499877929688,748.6656494140625,754.2490234375,740.9942626953125,753.522705078125,495182
2010-03-31,ABB,696.0364379882812,753.522705078125,758.06201171875,749.4373779296875,751.70703125,431735
2010-04-01,ABB,695.6171875,753.0687866210938,762.8282470703125,750.6175537109375,753.522705078125,336462
2010-04-05,ABB,709.0768432617188,767.639892578125,776.673095703125,745.4427490234375,758.742919921875,571472
2010-04-06,ABB,705.4287719726562,763.6907348632812,778.4888305664062,759.2422485351562,776.03759765625,587590
